,AVG_HT,AVG_RP,user
0,62.716666666666676,235.57,1.0
1,71.11666666666667,253.92,2.0
2,73.85000000000001,98.61999999999998,3.0
3,88.87499999999999,169.31,4.0
4,118.31666666666668,355.86,5.0
5,88.49999999999999,203.54000000000002,6.0
6,94.95833333333333,298.37,7.0
7,77.38333333333334,248.34,8.0
8,92.77500000000002,228.19000000000005,9.0
9,86.13333333333333,383.74,10.0
10,68.6,303.7199999999999,11.0
11,86.49166666666665,156.45000000000002,12.0
12,66.825,323.79999999999995,13.0
13,67.62500000000001,178.56,14.0
14,91.60833333333333,226.2,15.0
15,101.00000000000001,196.82999999999996,16.0
16,65.975,349.56,17.0
17,101.50833333333333,232.11999999999998,18.0
18,65.10833333333332,212.38000000000002,19.0
19,73.20833333333333,284.98999999999995,20.0
20,87.06666666666666,454.84,21.0
21,79.23333333333333,350.03000000000003,22.0
22,71.19166666666668,204.23999999999998,23.0
23,70.35,157.45,24.0
24,57.508333333333326,496.29000000000013,25.0
25,61.675,154.23999999999998,26.0
26,92.09166666666667,226.73999999999995,27.0
27,86.93333333333334,155.14999999999998,28.0
28,81.1,215.2,29.0
29,75.98333333333333,458.96000000000004,30.0
30,104.39166666666665,237.59,31.0
31,65.70833333333334,219.97000000000008,32.0
32,61.61666666666665,451.98,33.0
33,60.47500000000001,355.79,34.0
34,63.908333333333346,243.35999999999999,35.0
35,61.44166666666668,170.82000000000005,36.0
36,79.85833333333333,268.58000000000004,37.0
37,77.25833333333334,258.0400000000001,38.0
38,63.125,250.85000000000005,39.0
39,84.6,355.6699999999999,40.0
40,79.95833333333334,200.67000000000002,41.0
41,63.841666666666654,158.45999999999998,42.0
42,80.99166666666667,212.46999999999997,43.0
43,71.33333333333334,178.74999999999997,44.0
44,86.59166666666665,267.51000000000005,45.0
45,75.84999999999998,192.12,46.0
46,85.93333333333334,371.24000000000007,47.0
47,88.82500000000002,174.92999999999995,48.0
48,78.98333333333332,266.03,49.0
49,80.36666666666667,372.85,50.0
50,69.44166666666668,319.20000000000005,51.0
51,68.91666666666666,251.09,52.0
52,78.08333333333331,170.68,53.0
53,81.88333333333335,139.69000000000003,54.0
54,62.766666666666666,209.02999999999997,55.0
55,69.45833333333333,354.53999999999996,56.0
56,105.28333333333335,262.62,57.0
57,72.19166666666666,262.64000000000004,58.0
58,87.76666666666667,254.25,59.0
59,90.51666666666668,451.56000000000006,60.0
60,85.32499999999999,535.1300000000001,61.0
61,84.49999999999999,178.28,62.0
62,54.13333333333334,255.99999999999994,63.0
63,62.341666666666676,173.2,64.0
64,75.65833333333333,236.42,65.0
65,53.783333333333346,315.99,66.0
66,95.01666666666664,238.6,67.0
67,50.575,414.59,68.0
68,62.666666666666664,191.08,69.0
69,43.53333333333333,318.91999999999996,70.0
70,100.36666666666667,182.74,71.0
71,80.925,265.49,72.0
72,81.89999999999999,486.71000000000004,73.0
73,89.25833333333334,285.82000000000005,74.0
74,71.525,289.91,75.0
75,78.18333333333332,329.84999999999997,76.0
76,78.25833333333335,570.8200000000002,77.0
77,53.19166666666666,324.79,78.0
78,62.825,344.43000000000006,79.0
79,98.89166666666667,156.36999999999998,80.0
80,73.44166666666668,235.88000000000002,81.0
81,72.16666666666666,212.78999999999996,82.0
82,68.40833333333333,168.41,83.0
83,112.43333333333335,454.73,84.0
84,63.533333333333324,176.94,85.0
85,89.15833333333333,165.97999999999996,86.0
86,58.69166666666668,216.0,87.0
87,68.05833333333332,396.40000000000003,88.0
88,74.20833333333334,512.1299999999999,89.0
89,57.51666666666665,148.71999999999997,90.0
90,53.18333333333334,321.0199999999999,91.0
91,101.16666666666666,161.68,92.0
92,70.2,873.01,93.0
93,75.00833333333334,195.36,94.0
94,82.16666666666666,101.08000000000001,95.0
95,60.55000000000001,212.32999999999998,97.0
96,77.14166666666667,289.03999999999996,98.0
97,59.39166666666669,181.78000000000003,99.0
98,48.71666666666666,302.90999999999997,100.0
99,108.55,344.97,101.0
100,68.54999999999998,166.32,102.0
101,108.94166666666665,214.91,103.0
102,78.275,197.14000000000001,104.0
103,54.0,431.7499999999999,105.0
104,101.00000000000001,196.82999999999996,106.0
105,92.06666666666666,166.60999999999999,107.0
106,58.94166666666668,186.65000000000003,108.0
107,91.41666666666666,236.59999999999997,109.0
108,81.13333333333334,193.67,110.0
109,68.44166666666666,246.4,111.0
110,88.03333333333333,221.7,112.0
